,index,Unnamed: 0,ext_temp,temp_top,temp_bottom,int_temp,sample_time,identifier,r_x,r_y,r_z,metal_fraction,job_no,id,orientation,which_iter,boundary_cond,Nx,Ny,Nz,Lx,Ly,Lz,x_mid,y_mid,z_mid,T_L,T_S,cond_metal_s,cond_metal_l,cond_olivine,dens_liq_metal,dens_solid_metal,dens_olivine,heat_cap_liq_metal,heat_cap_solid_metal,heat_cap_ol,latent_heat,dt,iterations,save_iter,iteration_list,model_id,percent_rounded,percent_geochem_preserved,expected_vol,actual_volume,mean_it0,mean_it1,mean_it2,mean_it3
718,719,719,1240.0,1240.0,1335.0,1720.0,0.0,random,40.0,78.0,40.0,0.3,719,model_id_719,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_719,75.16123596366255,0.0,522496.0,522216.0,1665.8345240213373,1526.5615085749691,1466.9960380781993,1446.7198927623633
719,720,720,1450.0,1450.0,1550.0,1740.0,0.0,random,34.0,12.0,34.0,0.5100000000000001,720,model_id_720,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_720,88.39547549224969,0.0,58077.439999999995,57288.0,1661.644749662538,1550.9403061468274,1529.4356015789515,1523.9233004185703
720,721,721,740.0,740.0,750.0,1800.0,0.0,random,140.0,16.0,140.0,0.5800000000000002,721,model_id_721,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_721,48.6024569363508,100.0,1312938.6666666667,1308296.0,1584.9375919265578,1179.7090122536495,1067.966298577064,1035.0677597786394
721,722,722,1240.0,1240.0,1335.0,1780.0,0.0,random,108.0,18.0,108.0,0.7800000000000001,722,model_id_722,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_722,77.75179494674535,3.437345853810037,878999.0399999999,875792.0,1676.4324592662147,1499.7404397586427,1446.9067325331855,1430.262363650426
722,723,723,340.0,340.0,440.0,1840.0,0.0,random,126.0,90.0,126.0,0.5600000000000002,723,model_id_723,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_723,84.35106902013727,51.133315065197195,5982076.8,5984920.0,1754.7273573624982,1515.8328972667903,1388.4319043891846,1338.694073396501
723,724,724,1360.0,1360.0,1360.0,1740.0,0.0,random,60.0,42.0,60.0,0.4000000000000001,724,model_id_724,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_724,85.47830592874385,0.0,633024.0,632984.0,1694.0741354672055,1576.0454894827615,1526.5576946440108,1509.770149527592
724,725,725,1180.0,1180.0,1185.0,1660.0,0.0,random,20.0,38.0,20.0,0.13,725,model_id_725,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_725,27.566754418954496,100.0,63637.333333333336,63816.0,1553.2744741153283,1314.847190922041,1254.923574900005,1240.4100419563842
725,726,726,1540.0,1540.0,1590.0,1740.0,0.0,random,80.0,46.0,80.0,0.5600000000000002,726,model_id_726,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_726,100.0,0.0,1232554.6666666667,1232056.0,1721.0593358425094,1671.085340774599,1648.7947588609181,1641.135633877445
726,727,727,1180.0,1180.0,1270.0,1780.0,0.0,random,20.0,52.0,20.0,0.7300000000000002,727,model_id_727,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_727,51.34138471466765,100.0,87082.66666666666,86776.0,1626.485378308459,1371.0552806387682,1309.4746501970296,1294.09077424669
727,728,728,440.0,440.0,525.0,1870.0,0.0,random,110.0,52.0,110.0,0.5200000000000001,728,model_id_728,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_728,80.98928036596813,66.28858870808514,2634250.6666666665,2633672.0,1755.752429614602,1440.821676683364,1283.7727134175648,1225.7695773497264
728,729,729,1020.0,1020.0,1110.0,1710.0,0.0,random,144.0,74.0,144.0,0.5300000000000001,729,model_id_729,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_729,82.72347980691534,6.163320139795884,6424289.28,6425368.0,1672.342001455107,1569.7273991006532,1515.3026892202515,1494.1392149138212
729,730,730,340.0,340.0,420.0,1900.0,0.0,random,92.0,42.0,92.0,0.5600000000000002,730,model_id_730,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_730,76.7011806470699,85.28574886372805,1488309.76,1487320.0,1744.3238588976399,1327.0154577676915,1134.0800324386694,1066.633912182611
730,731,731,1110.0,1110.0,1200.0,1610.0,0.0,random,36.0,148.0,36.0,0.7500000000000002,731,model_id_731,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_731,0.0,99.26814433709232,803036.16,802344.0,1544.8527568197292,1387.7020207814746,1323.2234426726054,1303.0923470077064
731,732,732,1110.0,1110.0,1125.0,1780.0,0.0,random,78.0,20.0,78.0,0.4700000000000001,732,model_id_732,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_732,67.46046746046746,77.38770238770239,509433.6,507936.0,1663.4495599480913,1415.5457289319386,1330.7452808761054,1304.473158773215
732,733,733,510.0,510.0,580.0,1900.0,0.0,random,54.0,12.0,54.0,0.06,733,model_id_733,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_733,48.79925262405891,100.0,146499.84,145576.0,1583.4797951170651,956.3575352692109,807.774819738397,767.0970868472408
733,734,734,1080.0,1080.0,1145.0,1810.0,0.0,random,84.0,42.0,84.0,0.26,734,model_id_734,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_734,85.8271426450751,10.664334535972685,1240727.04,1239496.0,1744.1430835974527,1565.7687956216087,1480.7526979323097,1449.9419860925532
734,735,735,840.0,840.0,890.0,1630.0,0.0,random,26.0,58.0,26.0,0.39,735,model_id_735,x=z,v8,n,201,201,201,400,400,400,200,200,200,1600,1260,35,35,3,7260,7260,3341,835,835,819,256000,2630000,121,30,"[3, 48, 96, 120]",model_id_735,7.773573780158223,100.0,164150.82666666666,162808.0,1481.942399881121,1135.3922711366001,1035.7982079886958,1008.5866458311739
